HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,CabinNumber,Side,IDCode#1,IDCode#2,1stName,Surname,Spent
Earth,No,TRAPPIST-1e,22,No,4119,0,0,0,61,No,G,22,P,160,1,Gory,Atkinney,4180
Europa,Yes,TRAPPIST-1e,26,No,0,0,0,0,0,Yes,B,8,P,163,1,Kabiton,Hetforhaft,0
Europa,Yes,TRAPPIST-1e,17,No,0,0,0,0,0,Yes,B,8,P,163,2,Scharab,Hetforhaft,0
Earth,No,TRAPPIST-1e,57,No,50,1688,0,,135,Yes,G,28,S,164,1,Fany,Hutchinton,1873
Earth,Yes,PSO J318.5-22,17,No,0,0,0,0,0,No,G,28,S,164,2,Ianya,Hutchinton,0
Mars,Yes,TRAPPIST-1e,35,,0,0,0,0,0,Yes,F,37,P,165,1,Graven,Anche,0
Mars,Yes,TRAPPIST-1e,13,No,0,0,0,0,0,Yes,F,35,S,167,1,Miten,Floaf,0
Mars,No,TRAPPIST-1e,27,No,1365,0,48,22,137,No,F,35,S,167,2,Rios,Floaf,1572
Earth,Yes,TRAPPIST-1e,31,No,0,0,0,0,0,No,G,23,P,169,1,Wandy,Fisherry,0
Earth,No,TRAPPIST-1e,24,No,0,0,0,221,567,No,E,10,S,170,1,Mollie,Mcmahoney,788
Earth,Yes,PSO J318.5-22,19,No,0,0,0,0,0,Yes,G,30,S,171,1,Coracy,Gordanieves,0
Earth,Yes,TRAPPIST-1e,32,No,0,0,0,0,0,Yes,G,24,P,172,1,Hanna,Johnshines,0
Earth,No,TRAPPIST-1e,58,No,0,985,0,5,0,Yes,E,11,S,173,1,Hilip,Grifford,990
Earth,No,55 Cancri e,21,No,287,0,16,115,175,No,F,38,P,174,1,Doryn,Lambles,593
Europa,No,TRAPPIST-1e,38,No,0,10346,1,14970,2111,No,B,2,S,177,1,Toperon,Iniouser,27428
Mars,No,TRAPPIST-1e,38,No,3414,0,161,28,119,No,D,6,S,178,1,Wees,Knik,3722
Earth,No,TRAPPIST-1e,19,No,1,219,673,2,11,Yes,G,26,P,179,1,Elaney,Webstephrey,906
Earth,No,TRAPPIST-1e,0,No,0,0,0,0,0,No,G,26,P,179,2,Raque,Webstephrey,0
Earth,No,TRAPPIST-1e,3,No,0,0,0,0,0,Yes,G,26,P,179,3,Sallyl,Webstephrey,0
Earth,No,TRAPPIST-1e,20,No,0,0,3,299,92,No,G,27,P,181,1,Nancis,Brighttt,394
Europa,Yes,TRAPPIST-1e,24,No,0,0,0,0,0,Yes,C,3,P,182,1,Ksorab,Disight,0
Earth,No,TRAPPIST-1e,37,No,17,146,426,0,232,Yes,F,36,S,183,1,Stany,Weaves,821
Earth,No,TRAPPIST-1e,25,No,62,0,0,0,956,No,G,28,P,186,1,Camiet,Shephendry,1018
Earth,Yes,TRAPPIST-1e,56,No,0,0,0,0,0,Yes,G,31,S,188,1,Branda,Romez,0
Earth,No,55 Cancri e,49,No,84,3,401,202,98,No,E,8,P,189,1,Helly,Booters,788
Earth,Yes,55 Cancri e,11,No,0,0,0,0,0,No,G,32,S,190,1,nan,nan,0
Earth,Yes,TRAPPIST-1e,1,No,0,0,0,0,0,Yes,G,29,P,192,1,Tance,Adavisons,0
Earth,No,TRAPPIST-1e,8,No,0,0,0,0,0,No,G,29,P,192,2,Robyny,Adavisons,0
Earth,No,TRAPPIST-1e,39,No,0,0,10,898,0,No,G,29,P,192,3,Lilace,Adavisons,908
Mars,Yes,TRAPPIST-1e,2,No,0,0,0,0,0,Yes,F,41,P,193,1,Sps,Raf,0
Mars,No,TRAPPIST-1e,23,No,,0,8,1072,0,No,F,41,P,193,2,Frook,Raf,1080
Mars,No,TRAPPIST-1e,0,No,0,0,0,0,0,Yes,F,41,P,193,3,Goles,Raf,0
Mars,No,TRAPPIST-1e,39,No,406,0,867,0,0,Yes,F,42,P,195,1,Bar,Floaf,1273
Mars,No,PSO J318.5-22,25,No,1052,0,719,0,7,No,D,5,P,196,1,Caper,Emead,1778
Europa,No,TRAPPIST-1e,36,No,0,972,0,795,575,No,C,5,P,197,1,Astrak,Dissper,2342
Earth,Yes,PSO J318.5-22,52,No,0,0,0,0,0,Yes,G,30,P,198,1,Jeroy,Cookson,0
Earth,Yes,TRAPPIST-1e,18,No,0,0,0,0,0,No,G,33,S,199,1,Regana,Morrows,0
Earth,Yes,TRAPPIST-1e,15,No,0,0,0,0,0,Yes,G,31,P,200,1,Elia,Colomonson,0
Europa,Yes,TRAPPIST-1e,35,No,0,0,0,0,0,Yes,B,3,S,201,1,Kaffias,Bacistion,0
Europa,Yes,TRAPPIST-1e,47,No,0,0,0,0,0,Yes,B,3,S,201,2,Edaruma,Bacistion,0
Europa,Yes,55 Cancri e,45,No,0,0,0,0,0,Yes,B,9,P,202,1,Pomera,Embleng,0
Europa,No,55 Cancri e,,No,0,2433,,878,443,Yes,A,2,P,202,2,Vegas,Embleng,3754
Europa,Yes,TRAPPIST-1e,51,No,0,0,0,0,0,Yes,C,8,S,203,1,Ancham,Heateele,0
Earth,No,TRAPPIST-1e,29,No,0,2,66,0,705,No,G,34,S,205,1,Carma,Oneiles,773
Europa,No,55 Cancri e,,No,2,1720,12,1125,122,Yes,C,9,S,206,1,Nuson,Brugashed,2981
Earth,Yes,PSO J318.5-22,19,No,0,0,0,0,0,No,G,32,P,207,1,Thony,Mcfaddennon,0
Europa,Yes,55 Cancri e,24,No,0,0,0,0,0,Yes,D,6,P,210,1,Arraid,Inicont,0
Mars,No,TRAPPIST-1e,29,No,902,1,137,0,0,Yes,F,44,P,211,1,Pebuts,Appie,1040
Mars,Yes,TRAPPIST-1e,11,No,0,0,0,0,0,Yes,F,44,P,211,2,Corsh,Appie,0
Mars,No,TRAPPIST-1e,17,No,848,0,307,182,0,No,F,44,P,211,3,Picers,Date,1337
Earth,No,TRAPPIST-1e,13,No,192,0,0,51,739,No,E,9,P,212,1,Inen,Workmans,982
Earth,No,TRAPPIST-1e,35,No,147,188,0,10,387,No,F,45,P,212,2,Shally,Workmans,732
Earth,No,TRAPPIST-1e,21,No,367,281,0,0,146,No,F,46,P,213,1,Carita,Navages,794
Earth,No,55 Cancri e,21,No,0,56,0,0,1918,No,F,40,S,216,1,Searla,Garnes,1974
Earth,No,TRAPPIST-1e,38,No,1517,0,0,27,0,No,F,47,P,217,1,Prilly,Shieldson,1544
Earth,Yes,TRAPPIST-1e,19,No,0,0,0,0,0,Yes,G,36,P,219,1,Nica,River,0
Earth,Yes,TRAPPIST-1e,2,No,0,0,0,0,0,Yes,G,37,P,220,1,Tyle,Wilsoney,0
Earth,No,TRAPPIST-1e,0,No,0,0,0,0,0,Yes,G,37,P,220,2,Wena,Wilsoney,0
Earth,Yes,TRAPPIST-1e,13,No,0,0,0,0,0,No,G,37,P,220,3,Branca,Wilsoney,0
Earth,No,TRAPPIST-1e,25,No,122,84,,0,0,No,E,10,P,220,4,Dont,Wilsoney,206
Earth,No,TRAPPIST-1e,16,No,0,3,0,0,1099,No,F,48,P,220,5,Velyne,Wilsoney,1102
Earth,No,55 Cancri e,1,No,0,0,0,0,0,No,G,37,P,220,6,Weney,Wilsoney,0
Earth,Yes,TRAPPIST-1e,15,No,0,0,0,0,0,Yes,G,37,P,220,7,Guye,Wilsoney,0
Mars,No,55 Cancri e,21,No,2237,0,119,0,0,No,E,13,S,221,1,Cowhex,Blan,2356
Mars,No,TRAPPIST-1e,23,No,1215,80,1,2,0,No,E,13,S,221,2,Yogark,Reke,1298
Mars,No,TRAPPIST-1e,33,No,1933,12,188,1,0,No,E,13,S,221,3,Jacks,Reke,2134
Mars,Yes,TRAPPIST-1e,21,No,0,0,0,0,0,Yes,E,13,S,221,4,Eerch,Reke,0
Mars,No,TRAPPIST-1e,41,No,1230,0,301,43,1023,No,E,13,S,221,5,Panbug,Reke,2597
Mars,No,TRAPPIST-1e,16,No,915,0,221,234,0,No,E,13,S,221,6,Gran,Reke,1370
Mars,Yes,TRAPPIST-1e,42,No,0,0,0,0,0,No,E,13,S,221,7,Rohs,Reke,0
Mars,No,TRAPPIST-1e,20,No,1406,0,0,11,0,No,F,41,S,222,1,Gone,Perte,1417
Mars,Yes,TRAPPIST-1e,24,No,0,0,0,0,0,Yes,F,41,S,222,2,Colf,Deva,0
Mars,Yes,TRAPPIST-1e,16,No,0,0,0,0,0,Yes,E,14,S,222,3,Grake,Perte,0
Earth,No,TRAPPIST-1e,21,No,0,2,665,0,9,No,G,35,S,223,1,Evan,Sykess,676
Mars,No,TRAPPIST-1e,32,Yes,181,0,5,1634,0,No,F,42,S,224,1,Blues,Queen,1820
Earth,Yes,PSO J318.5-22,58,No,0,0,0,0,0,Yes,G,38,P,225,1,Carly,Hortis,0
Earth,No,TRAPPIST-1e,24,No,4,7,0,713,79,No,F,43,S,229,1,Done,Sellahaney,803
Mars,No,TRAPPIST-1e,30,No,85,0,1,1720,0,No,F,44,S,231,1,Krus,Nate,1806
Earth,Yes,PSO J318.5-22,27,No,0,0,0,0,0,No,G,36,S,232,1,Nica,Bakerrison,0
Mars,No,TRAPPIST-1e,32,No,56,0,256,1438,0,No,F,45,S,233,1,Teda,Wist,1750
Earth,No,TRAPPIST-1e,43,No,,888,0,0,0,No,F,50,P,234,1,Keitha,Josey,888
Europa,Yes,TRAPPIST-1e,42,No,0,0,0,0,0,Yes,B,11,P,237,1,Weias,Aginge,0
Mars,No,TRAPPIST-1e,37,No,637,0,0,92,319,No,,,,239,1,Diedow,Resty,1048
Mars,Yes,TRAPPIST-1e,35,No,0,0,0,0,0,Yes,F,52,P,240,1,Puffes,Crie,0
Europa,No,55 Cancri e,33,No,0,1249,0,4812,1116,No,E,11,P,241,1,Alas,Dischod,7177
Mars,No,TRAPPIST-1e,18,No,313,1,691,283,0,No,F,46,S,242,1,Almone,Sté,1288
Earth,Yes,TRAPPIST-1e,21,No,0,0,0,0,0,No,G,37,S,243,1,Lilace,Cartyernan,0
Mars,Yes,TRAPPIST-1e,43,No,0,0,0,0,0,Yes,,,,244,1,Froos,Sad,0
Mars,Yes,55 Cancri e,14,,0,0,0,0,0,Yes,F,47,S,244,2,Tous,Sad,0
Europa,No,55 Cancri e,46,No,0,3571,0,0,7,Yes,C,6,P,245,1,Glueba,Repumparte,3578
Europa,No,TRAPPIST-1e,33,No,0,86,796,584,10912,No,C,6,P,245,2,Anchib,Repumparte,12378
Mars,No,TRAPPIST-1e,21,No,2947,0,287,27,0,No,D,8,P,246,1,Mele,Sesa,3261
Europa,No,TRAPPIST-1e,33,No,0,1,0,8620,1063,No,C,10,S,248,1,Genifi,Spanxibus,9684
Earth,Yes,PSO J318.5-22,47,No,0,0,0,0,0,No,G,38,S,250,1,Camily,Kramosley,0
Europa,Yes,55 Cancri e,54,No,0,0,0,0,0,Yes,C,11,S,251,1,Diphah,Amsive,0
Earth,No,TRAPPIST-1e,30,No,335,695,541,0,0,No,F,53,P,252,1,Leenny,Byerry,1571
Earth,No,TRAPPIST-1e,29,No,272,615,0,0,1,No,G,42,P,253,1,Dawne,Cardner,888
Earth,No,TRAPPIST-1e,21,No,702,172,408,2,6,Yes,F,54,P,254,1,Race,Stenson,1290
Europa,Yes,TRAPPIST-1e,24,No,0,0,0,0,0,Yes,A,3,S,255,1,Ashir,Mingious,0
Mars,No,55 Cancri e,21,No,1664,0,,0,0,No,F,49,S,257,1,Errohs,Berte,1664
Mars,Yes,TRAPPIST-1e,60,No,0,0,0,0,0,Yes,F,49,S,257,2,Squars,Berte,0
Earth,No,TRAPPIST-1e,22,No,0,0,313,299,92,No,F,50,S,258,1,Feryla,Cooperkins,704
Europa,No,TRAPPIST-1e,26,No,0,4810,0,981,2054,No,E,16,S,260,1,Segino,Inderly,7845
